gene_symbol	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	diffexpressed	Protein_ID	gene	swissprot_symbol	trembl_symbol	ncbi_symbol	Swiss.Prot_Hit	SP_E.value	Swiss.Prot_Description	Trembl_Hit	TB_E.value	Trembl_Description	NCBI_hit	nr_E.value	NCBI_Description	GO_Swiss.Prot	GO_Trembl
CFA45	0.395818207299898	0.0253797531756632	0.133	0.095	1	sym	evm.model.Ap8.2429	evm.TU.Ap8.2429	Cilia- and flagella-associated protein 45	Predicted protein	cilia- and flagella-associated protein 45-like [Orbicella faveolata]	sp|Q9UL16|CFA45_HUMAN	2.65e-126	Cilia- and flagella-associated protein 45 OS=Homo sapiens GN=CFAP45 PE=1 SV=2	tr|A7SD44|A7SD44_NEMVE	0	Predicted protein OS=Nematostella vectensis GN=v1g169166 PE=4 SV=1	ref|XP_020602402.1|	0	cilia- and flagella-associated protein 45-like [Orbicella faveolata]	GO:0005929; GO:0005654; GO:0005634	
MSH6	0.451758888443791	0.0853361109590682	0.107	0.075	1	sym	evm.model.Ap9.308	evm.TU.Ap9.308	DNA mismatch repair protein Msh6	DNA mismatch repair protein Msh6	DNA mismatch repair protein Msh6-like [Stylophora pistillata]	sp|E1BYJ2|MSH6_CHICK	0	DNA mismatch repair protein Msh6 OS=Gallus gallus GN=MSH6 PE=3 SV=2	tr|A0A2B4RSF1|A0A2B4RSF1_STYPI	0	DNA mismatch repair protein Msh6 OS=Stylophora pistillata GN=Msh6 PE=4 SV=1	gb|PFX19258.1|	0	DNA mismatch repair protein Msh6-like [Stylophora pistillata]	GO:0005829; GO:0005794; GO:0032301; GO:0000790; GO:0005654; GO:0043531; GO:0005524; GO:0003682; GO:0003684; GO:0008094; GO:0000400; GO:0032137; GO:0000287; GO:0035064; GO:0032405; GO:0032357; GO:0032138; GO:0032142; GO:0032143; GO:0008340; GO:0008630; GO:0045190; GO:0043570; GO:0006298; GO:0007095; GO:0032876; GO:0045910; GO:0030890; GO:0051096; GO:0045830; GO:0009411; GO:0016446	GO:0005524; GO:0030983; GO:0006298
DNLI1	0.459377333724565	0.983276147545096	0.06	0.029	1	sym	evm.model.Ap12.90	evm.TU.Ap12.90	DNA ligase 1	DNA ligase 1	DNA ligase 1-like isoform X1 [Orbicella faveolata]	sp|P51892|DNLI1_XENLA	0	DNA ligase 1 OS=Xenopus laevis GN=lig1 PE=2 SV=1	tr|A0A2B4RKL2|A0A2B4RKL2_STYPI	0	DNA ligase 1 OS=Stylophora pistillata GN=lig1 PE=4 SV=1	ref|XP_020626642.1|	0	DNA ligase 1-like isoform X1 [Orbicella faveolata]	GO:0005634; GO:0005524; GO:0003677; GO:0003910; GO:0046872; GO:0007049; GO:0051301; GO:0071897; GO:0051103; GO:0006310; GO:0006260	GO:0005524; GO:0003677; GO:0003910; GO:0071897; GO:0051103; GO:0006310; GO:0006260
NELL2.1	0.465961304221963	-0.447272819537406	0.39	0.384	1	apo	evm.model.Ap5.2822	evm.TU.Ap5.2822	Protein kinase C-binding protein NELL2	Protein kinase C-binding protein NELL2	protein kinase C-binding protein NELL1-like [Orbicella faveolata]	sp|Q99435|NELL2_HUMAN	5.92e-18	Protein kinase C-binding protein NELL2 OS=Homo sapiens GN=NELL2 PE=1 SV=1	tr|A0A2B4S1E1|A0A2B4S1E1_STYPI	0	Protein kinase C-binding protein NELL2 OS=Stylophora pistillata GN=nell2 PE=4 SV=1	ref|XP_020604586.1|	0	protein kinase C-binding protein NELL1-like [Orbicella faveolata]	GO:0005623; GO:0005576; GO:0005509; GO:0070050	GO:0016301
WNT7B.2	0.522663100400563	0.368128436891582	0.041	0.018	1	sym	evm.model.Ap2.2536	evm.TU.Ap2.2536	Protein Wnt-7b	Protein Wnt-7b	protein Wnt-7b-like [Orbicella faveolata]	sp|Q3L254|WNT7B_CHICK	1.46e-49	Protein Wnt-7b OS=Gallus gallus GN=WNT7B PE=2 SV=1	tr|A0A2B4RTY3|A0A2B4RTY3_STYPI	3.83e-154	Protein Wnt-7b OS=Stylophora pistillata GN=WNT7B PE=4 SV=1	ref|XP_020629388.1|	0	protein Wnt-7b-like [Orbicella faveolata]	GO:0005615; GO:0005578; GO:0005109; GO:0045165; GO:0070307; GO:0030182; GO:0016055	GO:0005578; GO:0005102; GO:0007275; GO:0016055
CO6A3.2	0.540455305336981	-0.776219580183696	0.201	0.238	1	apo	evm.model.Ap7.944	evm.TU.Ap7.944	Collagen alpha-3(VI) chain	Collagen alpha-3(VI) chain	Collagen alpha-3(VI) chain [Stylophora pistillata]	sp|P12111|CO6A3_HUMAN	1.25e-56	Collagen alpha-3(VI) chain OS=Homo sapiens GN=COL6A3 PE=1 SV=5	tr|A0A2B4RUX8|A0A2B4RUX8_STYPI	0	Collagen alpha-3(VI) chain OS=Stylophora pistillata GN=COL6A3 PE=4 SV=1	gb|PFX22254.1|	0	Collagen alpha-3(VI) chain [Stylophora pistillata]	GO:0005589; GO:0005788; GO:0070062; GO:0031012; GO:0005576; GO:0005615; GO:1903561; GO:0005578; GO:0042383; GO:0004867; GO:0007155; GO:0030574; GO:0030198; GO:0007517	GO:0005581; GO:0005576; GO:0030414
SMC2	0.546058894461341	0.242899386291686	0.061	0.046	1	sym	evm.model.Ap14.472	evm.TU.Ap14.472	Structural maintenance of chromosomes protein 2	Structural maintenance of chromosomes protein	hypothetical protein BRAFLDRAFT_129060 [Branchiostoma floridae]	sp|P50533|SMC2_XENLA	0	Structural maintenance of chromosomes protein 2 OS=Xenopus laevis GN=smc2 PE=1 SV=1	tr|C3YT48|C3YT48_BRAFL	0	Structural maintenance of chromosomes protein OS=Branchiostoma floridae GN=BRAFLDRAFT_129060 PE=3 SV=1	gb|EEN56415.1|	0	hypothetical protein BRAFLDRAFT_129060 [Branchiostoma floridae]	GO:0005694; GO:0005829; GO:0005634; GO:0005524; GO:0007049; GO:0051301; GO:0030261	GO:0005694; GO:0005634; GO:0005524; GO:0051276
PLMT	0.576730958918111	-0.4801109963913	0.446	0.435	1	apo	evm.model.Ap2.3781	evm.TU.Ap2.3781	Phosphatidyl-N-methylethanolamine N-methyltransferase	Phosphatidyl-N-methylethanolamine N-methyltransferase	phosphatidylethanolamine N-methyltransferase-like [Stylophora pistillata]	sp|C8VRV0|PLMT_EMENI	2.1e-60	Phosphatidyl-N-methylethanolamine N-methyltransferase OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) GN=choC PE=3 SV=1	tr|A0A2B4SU59|A0A2B4SU59_STYPI	5.7e-132	Phosphatidyl-N-methylethanolamine N-methyltransferase OS=Stylophora pistillata GN=OPI3 PE=4 SV=1	gb|PFX32118.1|	8.83e-132	phosphatidylethanolamine N-methyltransferase-like [Stylophora pistillata]	GO:0005789; GO:0016021; GO:0031966; GO:0016627; GO:0080101; GO:0000773; GO:0070791; GO:0006656	GO:0005789; GO:0016021; GO:0031966; GO:0080101; GO:0000773; GO:0004608; GO:0006656
ADAM9.1	0.584621358779927	0.497848623972847	0.034	0.021	1	sym	evm.model.Ap14.121	evm.TU.Ap14.121	Disintegrin and metalloproteinase domain-containing protein 9	Retinol dehydrogenase 8	disintegrin and metalloproteinase domain-containing protein 8-like isoform X2 [Orbicella faveolata]	sp|Q13443|ADAM9_HUMAN	6.43e-62	Disintegrin and metalloproteinase domain-containing protein 9 OS=Homo sapiens GN=ADAM9 PE=1 SV=1	tr|A0A2B4SP49|A0A2B4SP49_STYPI	0	Retinol dehydrogenase 8 OS=Stylophora pistillata GN=RDH8 PE=4 SV=1	ref|XP_020611781.1|	0	disintegrin and metalloproteinase domain-containing protein 8-like isoform X2 [Orbicella faveolata]	GO:0016323; GO:0009986; GO:0070062; GO:0005615; GO:0005925; GO:0016021; GO:0031233; GO:0005518; GO:0005178; GO:0043236; GO:0046872; GO:0004222; GO:0008237; GO:0005080; GO:0017124; GO:0000186; GO:0007155; GO:0033627; GO:0016477; GO:0033631; GO:0007160; GO:0071222; GO:0007229; GO:0030216; GO:0006509; GO:0042117; GO:0051088; GO:0033630; GO:0051549; GO:0034241; GO:0051044; GO:0050714; GO:0051592; GO:0051384; GO:0042542; GO:0034616; GO:0010042; GO:0034612; GO:0007179	GO:0046872; GO:0004222; GO:0016491
ENKUR	0.587954923524182	-0.398422767719574	0.12	0.101	1	apo	evm.model.Ap7.1307	evm.TU.Ap7.1307	Enkurin	Enkurin	enkurin-like [Stylophora pistillata]	sp|Q8TC29|ENKUR_HUMAN	1.67e-88	Enkurin OS=Homo sapiens GN=ENKUR PE=1 SV=1	tr|A0A2B4S7Y3|A0A2B4S7Y3_STYPI	2.13e-172	Enkurin OS=Stylophora pistillata GN=ENKUR PE=4 SV=1	gb|PFX24565.1|	3.3e-172	enkurin-like [Stylophora pistillata]	GO:0001669; GO:0097228; GO:0005516; GO:0017124	
SERB	0.615104837507197	-0.166150979477223	0.271	0.239	1	apo	evm.model.Ap3.2243	evm.TU.Ap3.2243	Phosphoserine phosphatase	Phosphoserine phosphatase	phosphoserine phosphatase-like [Orbicella faveolata]	sp|P78330|SERB_HUMAN	3.23e-87	Phosphoserine phosphatase OS=Homo sapiens GN=PSPH PE=1 SV=2	tr|A0A2B4SLW6|A0A2B4SLW6_STYPI	2.01e-145	Phosphoserine phosphatase OS=Stylophora pistillata GN=PSPH PE=4 SV=1	ref|XP_020631823.1|	5.81e-178	phosphoserine phosphatase-like [Orbicella faveolata]	GO:0005829; GO:0043005; GO:0005509; GO:0000287; GO:0004647; GO:0042803; GO:0006564; GO:0006563; GO:0009612; GO:0031667; GO:0033574	GO:0004647; GO:0006564
CO6A3.4	0.620883614878688	-0.504341211212375	0.349	0.343	1	apo	evm.model.Ap7.948	evm.TU.Ap7.948	Collagen alpha-3(VI) chain	Collagen alpha-3(VI) chain	uncharacterized protein LOC110050092 [Orbicella faveolata]	sp|P15989|CO6A3_CHICK	1.36e-68	Collagen alpha-3(VI) chain OS=Gallus gallus GN=COL6A3 PE=2 SV=2	tr|A0A2B4RUX8|A0A2B4RUX8_STYPI	0	Collagen alpha-3(VI) chain OS=Stylophora pistillata GN=COL6A3 PE=4 SV=1	ref|XP_020611619.1|	0	uncharacterized protein LOC110050092 [Orbicella faveolata]	GO:0005581; GO:0005578; GO:0004867; GO:0007155	GO:0005581; GO:0005576; GO:0030414
PACRG	0.663516777989324	0.00377043246732556	0.054	0.039	1	sym	evm.model.Ap6.2976	evm.TU.Ap6.2976	Parkin coregulated gene protein homolog	Parkin coregulated gene protein-like	parkin coregulated gene protein homolog [Orbicella faveolata]	sp|Q9DAK2|PACRG_MOUSE	4.79e-134	Parkin coregulated gene protein homolog OS=Mus musculus GN=Pacrg PE=1 SV=1	tr|A0A2B4T1S6|A0A2B4T1S6_STYPI	5.4e-158	Parkin coregulated gene protein-like OS=Stylophora pistillata GN=Pacrg PE=4 SV=1	ref|XP_020615278.1|	5.07e-176	parkin coregulated gene protein homolog [Orbicella faveolata]	GO:0044297; GO:0005929; GO:0005829; GO:0005739; GO:0043005; GO:0097225; GO:0031982; GO:0003779; GO:0043014; GO:0048487; GO:0051087; GO:0001664; GO:0031072; GO:0030544; GO:0051879; GO:0031625; GO:0034620; GO:0060548; GO:0007286	
LCA5	0.687738429130955	0.217145207582749	0.088	0.061	1	sym	evm.model.Ap6.2811	evm.TU.Ap6.2811	Lebercilin	Lebercilin	lebercilin-like [Orbicella faveolata]	sp|Q5U2Y9|LCA5_RAT	1.45e-27	Lebercilin OS=Rattus norvegicus GN=Lca5 PE=2 SV=1	tr|A0A2B4SDC9|A0A2B4SDC9_STYPI	0	Lebercilin OS=Stylophora pistillata GN=Lca5 PE=4 SV=1	ref|XP_020601254.1|	0	lebercilin-like [Orbicella faveolata]	GO:0005930; GO:0036064; GO:0005929; GO:0032403; GO:0042073; GO:0045494	
ZC21C	0.68900251148961	-1.29134810941556	0.019	0.028	1	apo	evm.model.Ap13.1976	evm.TU.Ap13.1976	Zinc finger C2HC domain-containing protein 1C	Zinc finger C2HC domain-containing protein 1C	zinc finger C2HC domain-containing protein 1C-like [Orbicella faveolata]	sp|Q6AYP4|ZC21C_RAT	1.48e-30	Zinc finger C2HC domain-containing protein 1C OS=Rattus norvegicus GN=Zc2hc1c PE=2 SV=1	tr|A0A2B4RIT2|A0A2B4RIT2_STYPI	0	Zinc finger C2HC domain-containing protein 1C OS=Stylophora pistillata GN=Zc2hc1c PE=4 SV=1	ref|XP_020614460.1|	0	zinc finger C2HC domain-containing protein 1C-like [Orbicella faveolata]	GO:0046872	
ANK2.5	0.736988221168488	0.00580120908506809	0.1	0.075	1	sym	evm.model.Ap6.1743	evm.TU.Ap6.1743	Ankyrin-2	Ankyrin repeat domain-containing protein 54	uncharacterized protein LOC110053747 [Orbicella faveolata]	sp|Q01484|ANK2_HUMAN	1.11e-17	Ankyrin-2 OS=Homo sapiens GN=ANK2 PE=1 SV=4	tr|A0A2B4SU53|A0A2B4SU53_STYPI	0	Ankyrin repeat domain-containing protein 54 OS=Stylophora pistillata GN=Ankrd54 PE=4 SV=1	ref|XP_020615681.1|	0	uncharacterized protein LOC110053747 [Orbicella faveolata]	GO:0031672; GO:0016324; GO:0016323; GO:0043034; GO:0005856; GO:0005829; GO:0005769; GO:0014704; GO:0005622; GO:0005764; GO:0031430; GO:0045121; GO:0005739; GO:0043005; GO:0005886; GO:0045211; GO:0055037; GO:0042383; GO:0030315; GO:0030018; GO:0051117; GO:0019899; GO:0044325; GO:0030674; GO:0019901; GO:0030507; GO:0005200; GO:0086014; GO:0086066; GO:0003283; GO:0006874; GO:0034613; GO:0006897; GO:0006888; GO:0086046; GO:0030913; GO:1901021; GO:0051928; GO:2001259; GO:0010628; GO:1901018; GO:0043268; GO:0034394; GO:0070972; GO:0036309; GO:0033365; GO:0072659; GO:0036371; GO:0050821; GO:0015031; GO:0098910; GO:1901019; GO:0051924; GO:0086004; GO:0055117; GO:0010882; GO:0010881; GO:0002027; GO:0086091; GO:0031647; GO:0051279; GO:0098907; GO:0060307; GO:0051597; GO:0086015; GO:0086070; GO:0070296; GO:0033292; GO:0086005	
SHH	0.742697341401697	-0.692734072539206	0.037	0.051	1	apo	evm.model.Ap10.385	evm.TU.Ap10.385	Sonic hedgehog protein	Hedgehog2 (Fragment)	sonic hedgehog protein-like [Orbicella faveolata]	sp|Q91035|SHH_CHICK	1.79e-100	Sonic hedgehog protein OS=Gallus gallus GN=SHH PE=1 SV=1	tr|A7RW45|A7RW45_NEMVE	3.25e-105	Hedgehog2 (Fragment) OS=Nematostella vectensis GN=v1g95413 PE=2 SV=1	ref|XP_020631597.1|	0	sonic hedgehog protein-like [Orbicella faveolata]	GO:0005576; GO:0005615; GO:0005886; GO:0005509; GO:0016015; GO:0008233; GO:0008270; GO:0009952; GO:0097190; GO:0001709; GO:0060573; GO:0007267; GO:0060591; GO:0071679; GO:0042733; GO:0030326; GO:0009880; GO:0060059; GO:0090269; GO:0021508; GO:0003430; GO:0048877; GO:0016539; GO:0043066; GO:0030514; GO:0003408; GO:0021631; GO:0009949; GO:0009951; GO:0010694; GO:0010770; GO:0010628; GO:0061075; GO:0045669; GO:0045880; GO:0030166; GO:0060785; GO:0060786; GO:0010468; GO:2000177; GO:0032526; GO:0001895; GO:0003406; GO:0097264; GO:0023052; GO:0021513; GO:0009888	GO:0008233; GO:0007267; GO:0007275
ANGL7.5	0.786411273266508	-0.16793775806876	0.044	0.042	1	apo	evm.model.Ap5.2283	evm.TU.Ap5.2283	Angiopoietin-related protein 7	Basement membrane-specific heparan sulfate proteoglycan core protein	hemicentin-1-like [Stylophora pistillata]	sp|O43827|ANGL7_HUMAN	7.74e-46	Angiopoietin-related protein 7 OS=Homo sapiens GN=ANGPTL7 PE=1 SV=1	tr|A0A2B4SDN8|A0A2B4SDN8_STYPI	0	Basement membrane-specific heparan sulfate proteoglycan core protein OS=Stylophora pistillata GN=Hspg2 PE=4 SV=1	ref|XP_022787964.1|	0	hemicentin-1-like [Stylophora pistillata]	GO:0005576; GO:0006979	
HMCN1.81	0.816595000555654	-0.779670146658945	0.067	0.096	1	apo	evm.model.Ap2.194	evm.TU.Ap2.194	Hemicentin-1	Plasma kallikrein	coagulation factor X-like isoform X1 [Orbicella faveolata]	sp|Q96RW7|HMCN1_HUMAN	4.68e-73	Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2	tr|A0A2B4STD3|A0A2B4STD3_STYPI	0	Plasma kallikrein OS=Stylophora pistillata GN=Klkb1 PE=4 SV=1	ref|XP_020612694.1|	0	coagulation factor X-like isoform X1 [Orbicella faveolata]	GO:0005604; GO:0005938; GO:0030054; GO:0032154; GO:0070062; GO:0005509; GO:0007049; GO:0051301; GO:0050896; GO:0007601	GO:0004252
CA1AA	0.817689748708716	0.297805832467135	0.018	0.012	1	sym	evm.model.Ap1.51	evm.TU.Ap1.51	Chromatin assembly factor 1 subunit A-A	Chromatin assembly factor 1 subunit A-A	Chromatin assembly factor 1 subunit A-A [Stylophora pistillata]	sp|Q98TA5|CA1AA_XENLA	4.71e-43	Chromatin assembly factor 1 subunit A-A OS=Xenopus laevis GN=chaf1a-a PE=1 SV=1	tr|A0A2B4T2M6|A0A2B4T2M6_STYPI	0	Chromatin assembly factor 1 subunit A-A OS=Stylophora pistillata GN=chaf1a-a PE=4 SV=1	gb|PFX34907.1|	0	Chromatin assembly factor 1 subunit A-A [Stylophora pistillata]	GO:0033186; GO:0005634; GO:0007049; GO:0031497; GO:0006281; GO:0006260; GO:0006335	
MCM4	0.832125166205197	-0.331545163412505	0.078	0.073	1	apo	evm.model.Ap4.5534	evm.TU.Ap4.5534	DNA replication licensing factor mcm4	DNA replication licensing factor mcm4-B	DNA replication licensing factor mcm4-A-like [Orbicella faveolata]	sp|Q6GL41|MCM4_XENTR	0	DNA replication licensing factor mcm4 OS=Xenopus tropicalis GN=mcm4 PE=2 SV=1	tr|A0A2B4RSN2|A0A2B4RSN2_STYPI	0	DNA replication licensing factor mcm4-B OS=Stylophora pistillata GN=mcm4-b PE=4 SV=1	ref|XP_020631223.1|	0	DNA replication licensing factor mcm4-A-like [Orbicella faveolata]	GO:0000785; GO:0042555; GO:0005634; GO:0005524; GO:0003677; GO:0003678; GO:0046872; GO:0007049; GO:0006270; GO:0006268; GO:0030174	GO:0042555; GO:0005634; GO:0005524; GO:0003677; GO:0003678; GO:0006270
TEKT2	0.883304733837454	-0.314442526012054	0.043	0.039	1	apo	evm.model.Ap3.2444	evm.TU.Ap3.2444	Tektin-2	Tektin-2	tektin-2-like [Orbicella faveolata]	sp|Q9UIF3|TEKT2_HUMAN	8.99e-129	Tektin-2 OS=Homo sapiens GN=TEKT2 PE=1 SV=1	tr|A0A2B4RV14|A0A2B4RV14_STYPI	0	Tektin-2 OS=Stylophora pistillata GN=TEKT2 PE=4 SV=1	ref|XP_020613522.1|	0	tektin-2-like [Orbicella faveolata]	GO:0005737; GO:0005874; GO:0005815; GO:0005634; GO:0036126; GO:0060271; GO:0060294; GO:0030317; GO:0036159	
MCM10	0.892239286304151	-0.137120049218324	0.018	0.011	1	apo	evm.model.Ap10.1959	evm.TU.Ap10.1959	Protein MCM10 homolog	Protein MCM10-like	protein MCM10 homolog [Stylophora pistillata]	sp|Q28E45|MCM10_XENTR	4.12e-78	Protein MCM10 homolog OS=Xenopus tropicalis GN=mcm10 PE=2 SV=1	tr|A0A2B4RFG4|A0A2B4RFG4_STYPI	0	Protein MCM10-like OS=Stylophora pistillata GN=mcm10 PE=4 SV=1	ref|XP_022806927.1|	0	protein MCM10 homolog [Stylophora pistillata]	GO:0005634; GO:0031298; GO:0003688; GO:0046872; GO:0003697; GO:0006974; GO:0006270	GO:0005634; GO:0006260
TIM	0.926577477115112	-0.238539459194738	0.032	0.027	1	apo	evm.model.Ap7.1609	evm.TU.Ap7.1609	Protein timeless homolog	Predicted protein (Fragment)	protein timeless homolog isoform X2 [Orbicella faveolata]	sp|Q9UNS1|TIM_HUMAN	0	Protein timeless homolog OS=Homo sapiens GN=TIMELESS PE=1 SV=2	tr|A7RHY6|A7RHY6_NEMVE	0	Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g81863 PE=4 SV=1	ref|XP_020612823.1|	0	protein timeless homolog isoform X2 [Orbicella faveolata]	GO:0000790; GO:0005654; GO:0005634; GO:0046982; GO:0042803; GO:0048754; GO:0044770; GO:0051301; GO:1904976; GO:0072719; GO:0006974; GO:0072711; GO:0007623; GO:0009582; GO:0006260; GO:0030324; GO:0002009; GO:0000122; GO:0045892; GO:2000781; GO:0042752; GO:0009628; GO:0006351	
TRAF3.9	0.946008103889656	-0.504270135497646	0.186	0.188	1	apo	evm.model.Ap13.1934	evm.TU.Ap13.1934	TNF receptor-associated factor 3	TNF receptor-associated factor 3	TNF receptor-associated factor 3-like [Stylophora pistillata]	sp|Q60803|TRAF3_MOUSE	1.47e-125	TNF receptor-associated factor 3 OS=Mus musculus GN=Traf3 PE=1 SV=2	tr|A0A2B4S225|A0A2B4S225_STYPI	0	TNF receptor-associated factor 3 OS=Stylophora pistillata GN=Traf3 PE=4 SV=1	gb|PFX22552.1|	0	TNF receptor-associated factor 3-like [Stylophora pistillata]	GO:0035631; GO:0009898; GO:0005768; GO:0019901; GO:0019903; GO:0031996; GO:0016740; GO:0005164; GO:0031625; GO:0008270; GO:0006915; GO:0045087; GO:0032088; GO:0042981; GO:0001817; GO:0050688; GO:0032648; GO:0030162; GO:0008063; GO:0002224; GO:0033209	GO:0005164; GO:0008270; GO:0045087; GO:0032088; GO:0042981; GO:0001817; GO:0050688; GO:0008063; GO:0033209
RIBC2	0.966717712530562	-0.556529694132019	0.093	0.09	1	apo	evm.model.Ap5.17	evm.TU.Ap5.17	RIB43A-like with coiled-coils protein 2	RIB43A-like with coiled-coils protein 2	RIB43A-like with coiled-coils protein 2 [Orbicella faveolata]	sp|Q9H4K1|RIBC2_HUMAN	9.65e-82	RIB43A-like with coiled-coils protein 2 OS=Homo sapiens GN=RIBC2 PE=1 SV=1	tr|A0A2B4S782|A0A2B4S782_STYPI	0	RIB43A-like with coiled-coils protein 2 OS=Stylophora pistillata GN=RIBC2 PE=4 SV=1	ref|XP_020618770.1|	0	RIB43A-like with coiled-coils protein 2 [Orbicella faveolata]	GO:0005634	
NCAM1.1	0.99844026689326	-0.176860265911245	0.032	0.021	1	apo	evm.model.Ap5.1950	evm.TU.Ap5.1950	Neural cell adhesion molecule 1	MAM domain-containing glycosylphosphatidylinositol anchor protein 2	hemicentin-1-like [Orbicella faveolata]	sp|P31836|NCAM1_BOVIN	7.66e-14	Neural cell adhesion molecule 1 OS=Bos taurus GN=NCAM1 PE=1 SV=1	tr|A0A2B4RYV0|A0A2B4RYV0_STYPI	1.95e-77	MAM domain-containing glycosylphosphatidylinositol anchor protein 2 OS=Stylophora pistillata GN=Mdga2 PE=4 SV=1	ref|XP_020618583.1|	2.31e-174	hemicentin-1-like [Orbicella faveolata]	GO:0016021; GO:0005886; GO:0007155	
